id,skills,experience,education,location,career_field,relocation
1,e-discovery brief writing mediation teaching,2,High School,Raleigh,Legal,False
2,employee retention labor laws succession planning,4,High School,Kansas City,Human Resources,False
3,influencer marketing social media marketing buffer hootsuite google ads inbound marketing customer journey,4,Associate,Orlando,Marketing,True
4,differentiated instruction instructional design lesson planning stem education blackboard canvas student support,8,Bachelor,Miami,Education,False
5,testing project management industrial design failure analysis cad plc quality assurance upselling,6,High School,San Francisco,Engineering,False
6,proposal writing consultative selling presentations customer acquisition lead generation solution selling,4,Master,San Francisco,Sales,False
7,mailchimp hubspot a/b testing seo tools hootsuite crm software public relations hr compliance,3,Bachelor,Tampa,Marketing,False
8,diversity & inclusion organizational development employee retention change management labor laws hr analytics interviewing stem education educational administration classroom management,5,Master,Portland,Human Resources,True
9,cfa audit sap cash flow analysis capital markets derivatives pivot tables google ads facebook ads,4,Bachelor,Minneapolis,Finance,False
10,gcp django react nosql jenkins,1,Master,Nashville,Software & IT,False
11,storytelling a/b testing sem copywriting plc engineering design blueprint reading,3,High School,Dallas,Marketing,False
12,employee relations talent management succession planning adp hr compliance,2,PhD,St. Louis,Human Resources,False
13,quotas closing techniques contract negotiation salesforce,20,Associate,Orlando,Sales,True
14,django rust mysql hibernate git,11,Associate,Baltimore,Software & IT,False
15,copywriting ux design figma color theory editing workforce planning,7,Bachelor,Washington DC,Arts & Media,True
16,objection handling customer retention sales strategy,5,Master,Houston,Sales,True
17,microcontrollers autocad gd&t industrial design,11,Bachelor,St. Louis,Engineering,True
18,css git jenkins java node.js scikit-learn,14,Master,Chicago,Software & IT,False
19,adp succession planning workforce planning,4,Bachelor,Salt Lake City,Human Resources,True
20,patient assessment infection control therapy,6,Master,Los Angeles,Healthcare,False
21,user research illustration user testing storytelling premiere pro adobe indesign,0,High School,Tampa,Arts & Media,False
22,talent management change management organizational development workforce planning career development interviewing accounting financial analysis,2,Bachelor,Philadelphia,Human Resources,True
23,pivot tables power bi excel python audit,3,High School,Indianapolis,Finance,True
24,storytelling google analytics inbound marketing,1,Master,Cincinnati,Marketing,False
25,sem branding customer journey seo buffer simulation,10,Bachelor,Pittsburgh,Marketing,True
26,anatomy patient assessment infection control physiology case management medical terminology phlebotomy,10,Bachelor,Detroit,Healthcare,True
27,psychiatric evaluation therapy clinical research physiology clinical documentation pharmacology critical care territory management cross-selling,13,Bachelor,San Francisco,Healthcare,False
28,bloomberg terminal r sap financial modeling,4,Master,Washington DC,Finance,True
29,document review drafting client counseling intellectual property legal analysis mediation derivatives r,3,Associate,Raleigh,Legal,False
30,content creation marketing automation mailchimp adobe creative suite hubspot,9,Bachelor,Philadelphia,Marketing,True
31,product development materials science process improvement manufacturing processes circuit design fluid dynamics industrial design,9,Bachelor,Cincinnati,Engineering,True
32,differentiated instruction special education student support canvas instructional design,5,Master,Cincinnati,Education,True
33,kubernetes python swift .net rest api aws rust,7,Master,San Diego,Software & IT,True
34,postgresql html javascript c++ rust kubernetes docker circuit design structural analysis fluid dynamics,2,Bachelor,St. Louis,Software & IT,True
35,negotiation client relationship management prospecting customer retention upselling,6,PhD,Detroit,Sales,False
36,content strategy hubspot canva analytics digital marketing storytelling financial statements regulatory compliance,17,Bachelor,Tampa,Marketing,False
37,financial statements portfolio management audit excel,7,Bachelor,Los Angeles,Finance,True
38,graphql django node.js javascript rust,19,High School,Pittsburgh,Software & IT,False
39,ui design 3d modeling illustration,4,PhD,Baltimore,Arts & Media,False
40,a/b testing content strategy campaign management google analytics email marketing,7,Bachelor,Remote,Marketing,False
41,moodle iep development lms diagnosis cpr patient education,2,Master,Salt Lake City,Education,False
42,thermodynamics catia failure analysis structural analysis project management,9,Bachelor,New York,Engineering,True
