id,title,required_skills,min_experience,required_education,location,career_field,salary,job_type
1,B2B Sales Representative,consultative selling customer retention sales forecasting hubspot pipeline management territory management,3,Bachelor,Chicago,Sales,76000,Full-time
2,Treasury Analyst,quickbooks budget management derivatives sql cash flow analysis,3,Master,Remote,Finance,80000,Contract
3,Art Director,user research typography wireframing cinema 4d adobe illustrator figma,4,Associate,Chicago,Arts & Media,97000,Full-time
4,HR Specialist,career development interviewing compensation hr analytics,2,Bachelor,San Antonio,Human Resources,140000,Contract
5,HR Specialist,adp hr analytics organizational development succession planning,1,Bachelor,Remote,Human Resources,117000,Full-time
6,IP Lawyer,document review litigation trial experience regulatory compliance deposition,7,Bachelor,Remote,Legal,247000,Full-time
7,Growth Hacker,public relations influencer marketing adobe creative suite,2,Master,Austin,Marketing,150000,Contract
8,Organizational Development Specialist,conflict resolution hr policies diversity & inclusion hr compliance employee relations performance management,2,Associate,Chicago,Human Resources,120000,Full-time
9,Paramedic,emergency care case management surgery healthcare regulations disease management,1,Master,Chicago,Healthcare,272000,Full-time
10,Industrial Designer,branding adobe indesign figma prototyping,1,Associate,Detroit,Arts & Media,60000,Full-time
11,IT Support Specialist,javascript kubernetes pandas html,2,Bachelor,Cleveland,Software & IT,134000,Full-time
12,Regional Sales Manager,closing techniques salesforce pipeline management proposal writing,1,Bachelor,Indianapolis,Sales,111000,Full-time
13,Chief Human Resources Officer,adp organizational development change management succession planning employee training hr policies,1,High School,San Jose,Human Resources,138000,Contract
14,Healthcare Administrator,disease management preventive care patient assessment vital signs patient care physiology,2,Bachelor,Remote,Healthcare,269000,Part-time
15,Dean,differentiated instruction google classroom moodle educational psychology academic advising stem education,4,Bachelor,Pittsburgh,Education,122000,Contract
16,Employee Relations Manager,employee relations performance management compensation bamboo hr,3,Associate,San Francisco,Human Resources,73000,Full-time
17,Professor,research student engagement differentiated instruction,2,Bachelor,Kansas City,Education,139000,Full-time
18,Game Developer,oracle nosql ruby pandas,3,Master,Los Angeles,Software & IT,147000,Contract
19,Inside Sales Representative,cold calling customer acquisition pipeline management sales analytics salesforce consultative selling,0,Bachelor,Houston,Sales,105000,Part-time
20,PR Specialist,seo content creation hootsuite crm software hubspot,1,Bachelor,Remote,Marketing,108000,Full-time
21,Criminal Defense Lawyer,trial experience legal analysis regulatory compliance,2,High School,San Diego,Legal,63000,Full-time
22,Media Planner,figma sketching adobe photoshop blender storyboarding,2,PhD,San Antonio,Arts & Media,165000,Part-time
23,UI/UX Developer,java django pandas kotlin numpy pytorch,0,High School,Minneapolis,Software & IT,190000,Temporary
24,Full Stack Developer,redux postgresql kubernetes javascript react jenkins,2,PhD,Detroit,Software & IT,118000,Full-time
25,Architectural Engineer,technical documentation manufacturing processes structural analysis prototyping cad,1,Bachelor,Washington DC,Engineering,144000,Full-time
26,Credit Analyst,bloomberg terminal capital markets financial statements corporate finance derivatives,3,PhD,Philadelphia,Finance,89000,Part-time
27,Occupational Therapist,infection control psychiatric evaluation physiology phlebotomy,1,High School,Pittsburgh,Healthcare,151000,Full-time
28,Attorney,e-discovery westlaw courtroom procedure trademark law client counseling,0,High School,Charlotte,Legal,131000,Full-time
29,Illustrator,art direction visual design videography editing after effects,4,Associate,Charlotte,Arts & Media,97000,Temporary
30,Science Teacher,instructional design canvas lesson planning lms,1,Master,Salt Lake City,Education,124000,Internship
