candidate_id,job_id,match_score,skill_match,exp_match,edu_match,loc_match,field_match
507,486,0.397,0.0,1.0,0.467,0.4,0.6
14,780,0.553,0.258,1.0,0.467,0.4,1.0
598,686,0.7,0.333,1.0,1.0,1.0,1.0
918,591,0.819,0.598,1.0,1.0,1.0,1.0
594,599,0.643,0.378,1.0,0.233,1.0,1.0
293,236,0.68,0.289,1.0,1.0,1.0,1.0
748,320,0.771,0.589,1.0,0.56,1.0,1.0
129,344,0.775,0.5,1.0,1.0,1.0,1.0
144,873,0.649,0.354,1.0,1.0,0.4,1.0
473,421,0.73,0.401,1.0,1.0,1.0,1.0
260,840,0.816,0.592,1.0,1.0,1.0,1.0
975,479,0.418,0.073,0.5,1.0,1.0,0.6
1404,454,0.772,0.612,1.0,0.467,1.0,1.0
1162,892,0.831,0.625,1.0,1.0,1.0,1.0
1289,96,0.662,0.51,1.0,0.42,0.4,1.0
301,630,0.735,0.546,1.0,1.0,0.4,1.0
823,556,0.82,0.6,1.0,1.0,1.0,1.0
93,487,0.725,0.667,0.5,1.0,1.0,1.0
488,709,0.718,0.507,1.0,1.0,0.4,1.0
928,462,0.58,0.289,1.0,1.0,0.4,0.6
779,76,0.84,0.645,1.0,1.0,1.0,1.0
1148,199,0.802,0.694,1.0,1.0,0.4,1.0
1081,618,0.373,0.0,1.0,0.233,0.4,0.6
525,951,0.583,0.378,1.0,0.233,0.4,1.0
822,76,0.778,0.639,1.0,1.0,0.4,1.0
1211,852,0.55,0.0,1.0,1.0,1.0,1.0
239,164,0.402,0.0,1.0,0.525,0.4,0.6
288,621,0.765,0.478,1.0,1.0,1.0,1.0
513,390,0.879,0.73,1.0,1.0,1.0,1.0
429,148,0.867,0.704,1.0,1.0,1.0,1.0
1319,696,0.666,0.258,1.0,1.0,1.0,1.0
1159,258,0.589,0.364,1.0,0.35,0.4,1.0
363,525,0.51,0.0,1.0,1.0,1.0,0.6
1262,368,0.428,0.0,1.0,0.175,1.0,0.6
1179,542,0.751,0.447,1.0,1.0,1.0,1.0
85,965,0.656,0.369,1.0,1.0,0.4,1.0
1318,485,0.567,0.316,0.5,1.0,1.0,1.0
927,90,0.55,0.0,1.0,1.0,1.0,1.0
470,320,0.7,0.596,1.0,0.42,0.4,1.0
1128,79,0.641,0.335,1.0,1.0,0.4,1.0
450,992,0.756,0.592,1.0,1.0,0.4,1.0
1162,546,0.762,0.6,1.0,0.42,1.0,1.0
609,281,0.51,0.0,1.0,1.0,1.0,0.6
1206,982,0.51,0.0,1.0,1.0,1.0,0.6
866,451,0.615,0.289,1.0,0.35,1.0,1.0
175,806,0.51,0.0,1.0,1.0,1.0,0.6
1059,854,0.373,0.0,1.0,0.233,0.4,0.6
681,789,0.742,0.426,1.0,1.0,1.0,1.0
504,523,0.735,0.546,1.0,1.0,0.4,1.0
1446,467,0.737,0.694,0.5,1.0,1.0,1.0
1135,114,0.772,0.492,1.0,1.0,1.0,1.0
106,363,0.856,0.679,1.0,1.0,1.0,1.0
1240,407,0.712,0.492,1.0,1.0,0.4,1.0
964,999,0.567,0.567,0.5,0.467,0.4,1.0
674,667,0.524,0.365,0.5,0.35,1.0,1.0
1173,339,0.71,0.632,1.0,0.35,0.4,1.0
336,55,0.595,0.333,1.0,0.35,1.0,0.6
601,476,0.605,0.401,0.5,1.0,1.0,1.0
857,525,0.814,0.586,1.0,1.0,1.0,1.0
1398,573,0.836,0.636,1.0,1.0,1.0,1.0
1142,493,0.332,0.0,0.5,0.467,1.0,0.6
1374,727,0.373,0.0,1.0,0.233,0.4,0.6
526,989,0.626,0.408,1.0,0.525,0.4,1.0
887,52,0.385,0.0,1.0,0.35,0.4,0.6
909,229,0.69,0.445,1.0,1.0,0.4,1.0
1113,875,0.706,0.569,1.0,1.0,0.4,0.6
246,638,0.708,0.612,1.0,0.42,0.4,1.0
486,495,0.51,0.0,1.0,1.0,1.0,0.6
489,337,0.782,0.516,1.0,1.0,1.0,1.0
724,506,0.789,0.65,1.0,0.467,1.0,1.0
211,65,0.51,0.0,1.0,1.0,1.0,0.6
693,221,0.685,0.433,1.0,1.0,0.4,1.0
1267,783,0.838,0.64,1.0,1.0,1.0,1.0
274,208,0.752,0.582,1.0,1.0,0.4,1.0
265,939,0.725,0.522,1.0,1.0,0.4,1.0
1140,782,0.762,0.471,1.0,1.0,1.0,1.0
965,959,0.645,0.471,1.0,0.233,1.0,0.6
1133,262,0.616,0.369,0.6,1.0,1.0,1.0
623,891,0.649,0.354,1.0,1.0,0.4,1.0
1288,540,0.751,0.447,1.0,1.0,1.0,1.0
495,520,0.74,0.423,1.0,1.0,1.0,1.0
978,548,0.777,0.504,1.0,1.0,1.0,1.0
1079,374,0.81,0.577,1.0,1.0,1.0,1.0
579,425,0.722,0.514,1.0,1.0,0.4,1.0
1436,632,0.526,0.08,1.0,1.0,0.4,1.0
742,43,0.45,0.0,1.0,1.0,0.4,0.6
1188,947,0.764,0.645,1.0,0.233,1.0,1.0
62,140,0.827,0.615,1.0,1.0,1.0,1.0
538,824,0.462,0.0,1.0,0.525,1.0,0.6
1273,801,0.625,0.577,0.5,1.0,0.4,1.0
284,218,0.812,0.583,1.0,1.0,1.0,1.0
1185,946,0.545,0.211,1.0,1.0,0.4,0.6
